# xmin, ymin, xmax, ymax, varxc, varyc, varw, varh
2.935920357704162598e-01,0.000000000000000000e+00,3.643026947975158691e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.052631616592407227e-01,0.000000000000000000e+00,4.052631556987762451e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
2.845524847507476807e-01,0.000000000000000000e+00,4.259738326072692871e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.199078142642974854e-01,0.000000000000000000e+00,3.906185030937194824e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.315789401531219482e-01,0.000000000000000000e+00,4.315789341926574707e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.108682632446289062e-01,0.000000000000000000e+00,4.522896111011505127e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.462236225605010986e-01,0.000000000000000000e+00,4.169342815876007080e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.578947484493255615e-01,0.000000000000000000e+00,4.578947424888610840e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.371840715408325195e-01,0.000000000000000000e+00,4.786054193973541260e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.725394010543823242e-01,0.000000000000000000e+00,4.432500898838043213e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.842105269432067871e-01,0.000000000000000000e+00,4.842105209827423096e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.634998500347137451e-01,0.000000000000000000e+00,5.049211978912353516e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.988551795482635498e-01,0.000000000000000000e+00,4.695658683776855469e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.105263054370880127e-01,0.000000000000000000e+00,5.105262994766235352e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
3.898156285285949707e-01,0.000000000000000000e+00,5.312370061874389648e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.251709878444671631e-01,0.000000000000000000e+00,4.958816468715667725e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.368421137332916260e-01,0.000000000000000000e+00,5.368421077728271484e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.161314368247985840e-01,0.000000000000000000e+00,5.575527548789978027e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.514867663383483887e-01,0.000000000000000000e+00,5.221974253654479980e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.631578922271728516e-01,0.000000000000000000e+00,5.631579160690307617e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.424472153186798096e-01,0.000000000000000000e+00,5.838685631752014160e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.778025448322296143e-01,0.000000000000000000e+00,5.485132336616516113e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.894736707210540771e-01,0.000000000000000000e+00,5.894736647605895996e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
4.687629938125610352e-01,0.000000000000000000e+00,6.101843714714050293e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.041183233261108398e-01,0.000000000000000000e+00,5.748290419578552246e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
5.157894492149353027e-01,0.000000000000000000e+00,6.157894730567932129e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
